Descendant,Age at death,Sex,Persons
Amelia,0,Female,6.90
Amelia,5,Female,8.62
Amelia,10,Female,10.34
Amelia,15,Female,10.34
Amelia,20,Female,13.79
Amelia,25,Female,13.79
Amelia,30,Female,15.52
Amelia,35,Female,22.41
Amelia,40,Female,27.59
Amelia,45,Female,27.59
Amelia,50,Female,31.03
Amelia,55,Female,32.76
Amelia,60,Female,37.93
Amelia,65,Female,41.38
Amelia,70,Female,48.28
Amelia,75,Female,58.62
Amelia,80,Female,74.14
Amelia,85,Female,87.93
Amelia,90,Female,94.83
Amelia,95,Female,96.55
Amelia,100,Female,98.28
Amelia,105,Female,100.00
Elizabeth,0,Female,16.47
Elizabeth,5,Female,17.65
Elizabeth,10,Female,20.00
Elizabeth,15,Female,20.00
Elizabeth,20,Female,21.18
Elizabeth,25,Female,22.35
Elizabeth,30,Female,23.53
Elizabeth,35,Female,23.53
Elizabeth,40,Female,23.53
Elizabeth,45,Female,24.71
Elizabeth,50,Female,27.06
Elizabeth,55,Female,29.41
Elizabeth,60,Female,35.29
Elizabeth,65,Female,43.53
Elizabeth,70,Female,57.65
Elizabeth,75,Female,64.71
Elizabeth,80,Female,77.65
Elizabeth,85,Female,94.12
Elizabeth,90,Female,97.65
Elizabeth,95,Female,98.82
Elizabeth,100,Female,100.00
Elizabeth,105,Female,100.00
George,0,Female,15.15
George,5,Female,16.16
George,10,Female,17.17
George,15,Female,18.18
George,20,Female,21.21
George,25,Female,22.22
George,30,Female,25.25
George,35,Female,28.28
George,40,Female,28.28
George,45,Female,30.30
George,50,Female,35.35
George,55,Female,39.39
George,60,Female,44.44
George,65,Female,46.46
George,70,Female,55.56
George,75,Female,67.68
George,80,Female,74.75
George,85,Female,88.89
George,90,Female,95.96
George,95,Female,98.99
George,100,Female,100.00
George,105,Female,100.00
John,0,Female,23.08
John,5,Female,30.77
John,10,Female,30.77
John,15,Female,30.77
John,20,Female,30.77
John,25,Female,38.46
John,30,Female,46.15
John,35,Female,50.00
John,40,Female,57.69
John,45,Female,65.38
John,50,Female,69.23
John,55,Female,69.23
John,60,Female,76.92
John,65,Female,76.92
John,70,Female,80.77
John,75,Female,84.62
John,80,Female,84.62
John,85,Female,88.46
John,90,Female,96.15
John,95,Female,100.00
John,100,Female,100.00
John,105,Female,100.00
Amelia,0,Male,16.13
Amelia,5,Male,20.97
Amelia,10,Male,20.97
Amelia,15,Male,24.19
Amelia,20,Male,27.42
Amelia,25,Male,32.26
Amelia,30,Male,38.71
Amelia,35,Male,41.94
Amelia,40,Male,45.16
Amelia,45,Male,45.16
Amelia,50,Male,50.00
Amelia,55,Male,56.45
Amelia,60,Male,62.90
Amelia,65,Male,64.52
Amelia,70,Male,69.35
Amelia,75,Male,72.58
Amelia,80,Male,82.26
Amelia,85,Male,90.32
Amelia,90,Male,100.00
Amelia,95,Male,100.00
Amelia,100,Male,100.00
Amelia,105,Male,100.00
Elizabeth,0,Male,18.18
Elizabeth,5,Male,22.08
Elizabeth,10,Male,23.38
Elizabeth,15,Male,23.38
Elizabeth,20,Male,23.38
Elizabeth,25,Male,24.68
Elizabeth,30,Male,24.68
Elizabeth,35,Male,27.27
Elizabeth,40,Male,33.77
Elizabeth,45,Male,35.06
Elizabeth,50,Male,42.86
Elizabeth,55,Male,44.16
Elizabeth,60,Male,50.65
Elizabeth,65,Male,59.74
Elizabeth,70,Male,71.43
Elizabeth,75,Male,81.82
Elizabeth,80,Male,92.21
Elizabeth,85,Male,92.21
Elizabeth,90,Male,97.40
Elizabeth,95,Male,100.00
Elizabeth,100,Male,100.00
Elizabeth,105,Male,100.00
George,0,Male,13.79
George,5,Male,14.66
George,10,Male,15.52
George,15,Male,16.38
George,20,Male,17.24
George,25,Male,18.10
George,30,Male,24.14
George,35,Male,26.72
George,40,Male,31.03
George,45,Male,37.07
George,50,Male,42.24
George,55,Male,47.41
George,60,Male,55.17
George,65,Male,65.52
George,70,Male,72.41
George,75,Male,81.03
George,80,Male,89.66
George,85,Male,93.97
George,90,Male,97.41
George,95,Male,98.28
George,100,Male,100.00
George,105,Male,100.00
John,0,Male,31.25
John,5,Male,31.25
John,10,Male,31.25
John,15,Male,31.25
John,20,Male,31.25
John,25,Male,37.50
John,30,Male,37.50
John,35,Male,43.75
John,40,Male,46.88
John,45,Male,56.25
John,50,Male,56.25
John,55,Male,62.50
John,60,Male,75.00
John,65,Male,81.25
John,70,Male,87.50
John,75,Male,90.63
John,80,Male,100.00
John,85,Male,100.00
John,90,Male,100.00
John,95,Male,100.00
John,100,Male,100.00
John,105,Male,100.00