Generation,Descendant,Birth Region,Death Region,count
1,Amelia,India,India,1
1,Elizabeth,India,India,1
1,George,Africa,India,1
1,John,India,India,1
2,Amelia,India,India,3
2,Amelia,India,North America,1
2,Amelia,South East Asia,South East Asia,1
2,Elizabeth,India,Australia & New Zealand,3
2,Elizabeth,India,India,5
2,George,Burma,UK & Ireland,1
2,George,India,Burma,2
2,George,India,India,12
2,George,India,UK & Ireland,8
2,John,India,India,7
3,Amelia,India,India,8
3,Amelia,India,UK & Ireland,4
3,Amelia,North America,North America,5
3,Amelia,South East Asia,Europe,2
3,Amelia,South East Asia,India,1
3,Amelia,South East Asia,South East Asia,5
3,Amelia,South East Asia,UK & Ireland,1
3,Elizabeth,Australia & New Zealand,Australia & New Zealand,15
3,Elizabeth,Burma,India,3
3,Elizabeth,India,Australia & New Zealand,5
3,Elizabeth,India,India,14
3,Elizabeth,India,UK & Ireland,1
3,George,Burma,India,1
3,George,Europe,Australia & New Zealand,1
3,George,India,Australia & New Zealand,3
3,George,India,Burma,3
3,George,India,Europe,1
3,George,India,India,27
3,George,India,UK & Ireland,22
3,George,UK & Ireland,Australia & New Zealand,1
3,John,India,Africa,1
3,John,India,Burma,2
3,John,India,India,10
4,Amelia,Europe,Europe,1
4,Amelia,India,India,7
4,Amelia,India,South East Asia,1
4,Amelia,India,UK & Ireland,3
4,Amelia,North America,North America,16
4,Amelia,South East Asia,Australia & New Zealand,4
4,Amelia,South East Asia,Europe,2
4,Amelia,South East Asia,India,1
4,Amelia,South East Asia,North America,2
4,Amelia,South East Asia,South East Asia,10
4,Amelia,South East Asia,UK & Ireland,2
4,Amelia,UK & Ireland,UK & Ireland,2
4,Elizabeth,At sea,India,1
4,Elizabeth,Australia & New Zealand,Australia & New Zealand,41
4,Elizabeth,India,Australia & New Zealand,1
4,Elizabeth,India,India,13
4,Elizabeth,India,North America,1
4,Elizabeth,India,UK & Ireland,5
4,George,Burma,Alive,7
4,George,Burma,Australia & New Zealand,8
4,George,Burma,Burma,9
4,George,Burma,India,1
4,George,Burma,North America,1
4,George,Burma,UK & Ireland,13
4,George,India,Africa,2
4,George,India,Alive,5
4,George,India,Australia & New Zealand,4
4,George,India,Europe,1
4,George,India,India,9
4,George,India,North America,2
4,George,India,UK & Ireland,30
4,George,South East Asia,Singapore,1
4,George,South East Asia,South East Asia,1
4,George,UK & Ireland,North America,1
4,George,UK & Ireland,UK & Ireland,5
4,John,Africa,India,1
4,John,Burma,Burma,4
4,John,India,Burma,2
4,John,India,India,3
5,Amelia,Australia & New Zealand,Alive,1
5,Amelia,Europe,Alive,6
5,Amelia,Europe,Europe,1
5,Amelia,Europe,North America,1
5,Amelia,India,Alive,3
5,Amelia,India,India,2
5,Amelia,India,North America,1
5,Amelia,India,UK & Ireland,4
5,Amelia,North America,Alive,13
5,Amelia,North America,North America,11
5,Amelia,South East Asia,Alive,6
5,Amelia,South East Asia,Australia & New Zealand,2
5,Amelia,South East Asia,Europe,1
5,Amelia,South East Asia,South East Asia,1
5,Amelia,South East Asia,UK & Ireland,4
5,Amelia,UK & Ireland,Alive,3
5,Amelia,UK & Ireland,UK & Ireland,2
5,Elizabeth,Australia & New Zealand,Alive,7
5,Elizabeth,Australia & New Zealand,Australia & New Zealand,32
5,Elizabeth,India,Alive,4
5,Elizabeth,India,Australia & New Zealand,2
5,Elizabeth,India,India,3
5,Elizabeth,India,UK & Ireland,6
5,Elizabeth,South East Asia,Alive,2
5,Elizabeth,South East Asia,Australia & New Zealand,2
5,George,Africa,Alive,1
5,George,Australia & New Zealand,Alive,8
5,George,Australia & New Zealand,Australia & New Zealand,2
5,George,Burma,Alive,17
5,George,Burma,Australia & New Zealand,3
5,George,Burma,North America,1
5,George,Burma,South East Asia,1
5,George,Burma,UK & Ireland,8
5,George,Europe,Alive,2
5,George,Europe,UK & Ireland,1
5,George,India,Alive,18
5,George,India,Australia & New Zealand,6
5,George,India,Burma,1
5,George,India,North America,1
5,George,India,UK & Ireland,5
5,George,South East Asia,Alive,3
5,George,UK & Ireland,Alive,35
5,George,UK & Ireland,Australia & New Zealand,1
5,George,UK & Ireland,UK & Ireland,8
5,John,Burma,Alive,1
5,John,Burma,Australia & New Zealand,1
5,John,Burma,Burma,8
5,John,Burma,Europe,1
5,John,Burma,North America,1
5,John,Burma,UK & Ireland,3
5,John,India,Australia & New Zealand,1
5,John,India,India,1
5,John,India,UK & Ireland,5
6,Amelia,Africa,Alive,3
6,Amelia,Australia & New Zealand,Alive,10
6,Amelia,Australia & New Zealand,Australia & New Zealand,2
6,Amelia,North America,Alive,18
6,Amelia,North America,North America,4
6,Amelia,South East Asia,Alive,1
6,Amelia,UK & Ireland,Alive,11
6,Amelia,UK & Ireland,Australia & New Zealand,1
6,Amelia,UK & Ireland,UK & Ireland,1
6,Elizabeth,Australia & New Zealand,Alive,47
6,Elizabeth,Australia & New Zealand,Australia & New Zealand,5
6,Elizabeth,India,Alive,7
6,Elizabeth,India,Australia & New Zealand,1
6,Elizabeth,India,UK & Ireland,2
6,Elizabeth,UK & Ireland,Alive,4
6,George,Australia & New Zealand,Alive,21
6,George,Australia & New Zealand,Australia & New Zealand,4
6,George,Burma,Alive,2
6,George,Europe,Alive,2
6,George,India,North America,1
6,George,North America,Alive,5
6,George,North America,North America,1
6,George,UK & Ireland,Alive,50
6,John,Burma,Alive,15
6,John,Burma,UK & Ireland,1
6,John,India,Alive,16
6,John,India,Australia & New Zealand,1
6,John,India,UK & Ireland,2
6,John,North America,Alive,1
6,John,South East Asia,Alive,3
6,John,UK & Ireland,Alive,4
7,Amelia,North America,Alive,5
7,Amelia,UK & Ireland,Alive,1
7,Elizabeth,Australia & New Zealand,Alive,2
7,Elizabeth,UK & Ireland,Alive,5
7,George,North America,Alive,11
7,George,UK & Ireland,Alive,3
7,John,Africa,Alive,1
7,John,Europe,Alive,2
7,John,UK & Ireland,Alive,37
7,John,UK & Ireland,UK & Ireland,2
8,Elizabeth,UK & Ireland,Alive,1
8,George,North America,Alive,2
8,John,UK & Ireland,Alive,6